Genre,Avarage_rating,Count
"Action, Adventure",8.18,202
"Action, Adventure, Biography",7.9,202
"Action, Adventure, Comedy",7.909999999999999,202
"Action, Adventure, Crime",7.6,202
"Action, Adventure, Drama",8.15,202
"Action, Adventure, Family",7.6,202
"Action, Adventure, Fantasy",8.200000000000001,202
"Action, Adventure, History",7.9,202
"Action, Adventure, Horror",7.9,202
"Action, Adventure, Mystery",7.6,202
"Action, Adventure, Romance",7.9,202
"Action, Adventure, Sci-Fi",7.928571428571429,202
"Action, Adventure, Thriller",7.74,202
"Action, Adventure, War",7.7,202
"Action, Adventure, Western",7.800000000000001,202
"Action, Biography, Crime",7.866666666666666,202
"Action, Biography, Drama",7.942857142857143,202
"Action, Comedy, Crime",8.016666666666666,202
"Action, Comedy, Fantasy",7.766666666666667,202
"Action, Comedy, Mystery",7.8,202
"Action, Comedy, Romance",8.2,202
"Action, Crime, Comedy",8.0,202
"Action, Crime, Drama",7.88,202
"Action, Crime, Mystery",7.6,202
"Action, Crime, Thriller",7.8,202
"Action, Drama",7.9399999999999995,202
"Action, Drama, History",7.766666666666667,202
"Action, Drama, Mystery",8.08,202
"Action, Drama, Sci-Fi",8.149999999999999,202
"Action, Drama, Sport",8.2,202
"Action, Drama, Thriller",7.949999999999999,202
"Action, Drama, War",8.166666666666666,202
"Action, Drama, Western",8.0,202
"Action, Mystery, Thriller",7.866666666666667,202
"Action, Sci-Fi",8.4,202
"Action, Sci-Fi, Thriller",8.0,202
"Action, Thriller",7.866666666666666,202
"Adventure, Biography, Crime",7.8,202
"Adventure, Biography, Drama",7.983333333333333,202
"Adventure, Comedy, Crime",7.9,202
"Adventure, Comedy, Drama",7.85,202
"Adventure, Comedy, Family",7.733333333333333,202
"Adventure, Comedy, Fantasy",7.8999999999999995,202
"Adventure, Comedy, Film-Noir",7.8,202
"Adventure, Comedy, Sci-Fi",8.1,202
"Adventure, Comedy, War",7.6,202
"Adventure, Drama",8.05,202
"Adventure, Drama, Fantasy",7.8999999999999995,202
"Adventure, Drama, History",8.0,202
"Adventure, Drama, Musical",8.1,202
"Adventure, Drama, Romance",7.75,202
"Adventure, Drama, Sci-Fi",8.166666666666666,202
"Adventure, Drama, Thriller",8.025,202
"Adventure, Drama, War",8.2,202
"Adventure, Drama, Western",7.975,202
"Adventure, Family, Fantasy",7.785714285714286,202
"Adventure, Fantasy",7.8,202
"Adventure, History, War",7.8,202
"Adventure, Horror, Sci-Fi",7.9,202
"Adventure, Mystery, Thriller",8.3,202
"Adventure, Sci-Fi",8.15,202
"Adventure, Thriller",8.0,202
"Animation, Action, Adventure",7.954545454545454,202
"Animation, Action, Crime",7.8999999999999995,202
"Animation, Action, Drama",8.1,202
"Animation, Action, Fantasy",7.7,202
"Animation, Action, Sci-Fi",8.0,202
"Animation, Adventure, Comedy",7.925,202
"Animation, Adventure, Drama",7.957142857142857,202
"Animation, Adventure, Family",7.966666666666667,202
"Animation, Adventure, Fantasy",8.1,202
"Animation, Biography, Crime",7.8,202
"Animation, Biography, Drama",7.9,202
"Animation, Comedy, Crime",7.6,202
"Animation, Comedy, Drama",7.949999999999999,202
"Animation, Comedy, Fantasy",7.7,202
"Animation, Crime, Mystery",8.0,202
"Animation, Drama, Family",7.85,202
"Animation, Drama, Fantasy",8.0,202
"Animation, Drama, Romance",7.6,202
"Animation, Drama, War",8.5,202
"Animation, Family, Fantasy",7.9,202
"Animation, Sci-Fi",7.8,202
"Biography, Comedy, Drama",7.914285714285714,202
"Biography, Crime, Drama",7.925,202
"Biography, Drama",7.983333333333333,202
"Biography, Drama, Family",7.875,202
"Biography, Drama, History",8.02142857142857,202
"Biography, Drama, Music",7.857142857142857,202
"Biography, Drama, Romance",7.7,202
"Biography, Drama, Sport",7.822222222222221,202
"Biography, Drama, Thriller",7.833333333333333,202
"Biography, Drama, War",7.9,202
Comedy,7.823076923076924,202
"Comedy, Crime",7.8,202
"Comedy, Crime, Drama",7.926666666666666,202
"Comedy, Crime, Mystery",8.0,202
"Comedy, Crime, Romance",8.1,202
"Comedy, Crime, Sport",8.1,202
"Comedy, Crime, Thriller",8.0,202
"Comedy, Drama",7.871428571428571,202
"Comedy, Drama, Family",7.985714285714286,202
"Comedy, Drama, Fantasy",7.875,202
"Comedy, Drama, Music",7.866666666666667,202
"Comedy, Drama, Musical",8.066666666666666,202
"Comedy, Drama, Romance",7.877419354838709,202
"Comedy, Drama, Thriller",8.133333333333333,202
"Comedy, Drama, War",8.059999999999999,202
"Comedy, Family",7.75,202
"Comedy, Family, Fantasy",7.8,202
"Comedy, Family, Romance",7.8,202
"Comedy, Fantasy, Romance",7.8,202
"Comedy, Horror",7.800000000000001,202
"Comedy, Music",7.9,202
"Comedy, Music, Musical",7.75,202
"Comedy, Music, Romance",8.2,202
"Comedy, Musical, Romance",8.3,202
"Comedy, Musical, War",7.8,202
"Comedy, Mystery, Romance",7.9,202
"Comedy, Romance",8.028571428571428,202
"Comedy, War",7.949999999999999,202
"Comedy, Western",7.7,202
"Crime, Drama",8.157692307692308,202
"Crime, Drama, Fantasy",8.066666666666666,202
"Crime, Drama, Film-Noir",8.059999999999999,202
"Crime, Drama, History",7.8,202
"Crime, Drama, Horror",8.0,202
"Crime, Drama, Music",8.3,202
"Crime, Drama, Musical",8.0,202
"Crime, Drama, Mystery",7.966666666666667,202
"Crime, Drama, Romance",7.82,202
"Crime, Drama, Sci-Fi",8.3,202
"Crime, Drama, Thriller",7.946428571428571,202
"Crime, Film-Noir, Mystery",7.9,202
"Crime, Film-Noir, Thriller",7.9,202
"Crime, Mystery, Thriller",8.133333333333333,202
"Crime, Thriller",7.966666666666666,202
Drama,7.975294117647058,202
"Drama, Family",8.233333333333334,202
"Drama, Family, Fantasy",8.15,202
"Drama, Family, Musical",7.866666666666667,202
"Drama, Family, Sport",8.25,202
"Drama, Fantasy",8.1,202
"Drama, Fantasy, History",8.2,202
"Drama, Fantasy, Horror",8.3,202
"Drama, Fantasy, Music",7.949999999999999,202
"Drama, Fantasy, Mystery",7.75,202
"Drama, Fantasy, Romance",7.875,202
"Drama, Fantasy, War",8.2,202
"Drama, Film-Noir",8.1,202
"Drama, Film-Noir, Mystery",8.0,202
"Drama, Film-Noir, Romance",7.800000000000001,202
"Drama, History",8.033333333333333,202
"Drama, History, Music",7.7,202
"Drama, History, Mystery",7.8,202
"Drama, History, Romance",8.1,202
"Drama, History, Thriller",7.85,202
"Drama, History, War",7.766666666666667,202
"Drama, Horror",8.0,202
"Drama, Horror, Mystery",7.7,202
"Drama, Horror, Sci-Fi",7.725,202
"Drama, Horror, Thriller",7.775,202
"Drama, Music",8.033333333333333,202
"Drama, Music, Musical",7.8,202
"Drama, Music, Mystery",7.9,202
"Drama, Music, Romance",7.914285714285714,202
"Drama, Musical",8.4,202
"Drama, Mystery",8.0,202
"Drama, Mystery, Romance",7.949999999999999,202
"Drama, Mystery, Sci-Fi",8.040000000000001,202
"Drama, Mystery, Thriller",7.922222222222222,202
"Drama, Mystery, War",8.350000000000001,202
"Drama, Romance",7.935135135135136,202
"Drama, Romance, Sci-Fi",8.15,202
"Drama, Romance, Thriller",7.85,202
"Drama, Romance, War",8.025,202
"Drama, Sci-Fi",7.933333333333334,202
"Drama, Sci-Fi, Thriller",7.7,202
"Drama, Sport",7.8999999999999995,202
"Drama, Thriller",7.857142857142857,202
"Drama, Thriller, War",8.1,202
"Drama, Thriller, Western",7.9,202
"Drama, War",8.073333333333332,202
"Drama, War, Western",7.6,202
"Drama, Western",7.9799999999999995,202
"Family, Fantasy, Musical",7.8,202
"Family, Sci-Fi",7.8,202
"Fantasy, Horror",7.9,202
"Fantasy, Horror, Mystery",8.1,202
"Film-Noir, Mystery",8.0,202
"Film-Noir, Mystery, Thriller",8.1,202
"Film-Noir, Thriller",7.8,202
Horror,7.9,202
"Horror, Mystery, Sci-Fi",8.1,202
"Horror, Mystery, Thriller",7.85,202
"Horror, Sci-Fi",8.05,202
"Horror, Thriller",7.800000000000001,202
"Mystery, Romance, Thriller",8.3,202
"Mystery, Sci-Fi, Thriller",7.8,202
"Mystery, Thriller",7.977777777777778,202
Thriller,7.8,202
Western,8.35,202
